Anxiety,Hours per day,Float
7.0,Age,18.0
9.0,Age,61.0
7.0,Age,18.0
8.0,Age,18.0
4.0,Age,18.0
5.0,Age,21.0
2.0,Age,19.0
2.0,Age,18.0
1.0,Age,19.0
2.0,Age,19.0
6.0,Age,18.0
8.0,Age,16.0
5.0,Age,16.0
7.0,Age,17.0
7.0,Age,15.0
6.0,Age,15.0
10.0,Age,17.0
6.0,Age,19.0
3.0,Age,18.0
10.0,Age,16.0
7.0,Age,18.0
8.0,Age,14.0
3.0,Age,18.0
6.0,Age,17.0
8.0,Age,17.0
4.0,Age,19.0
5.0,Age,17.0
0.0,Age,16.0
3.0,Age,18.0
6.0,Age,21.0
9.0,Age,26.0
7.0,Age,20.0
4.0,Age,23.0
7.0,Age,18.0
3.0,Age,37.0
6.0,Age,17.0
1.0,Age,18.0
7.0,Age,17.0
8.0,Age,36.0
9.0,Age,24.0
7.0,Age,18.0
7.0,Age,19.0
0.0,Age,17.0
7.0,Age,16.0
10.0,Age,23.0
3.0,Age,23.0
8.0,Age,22.0
8.0,Age,18.0
6.0,Age,23.0
7.0,Age,23.0
10.0,Age,19.0
8.0,Age,22.0
3.0,Age,15.0
5.0,Age,25.0
10.0,Age,32.0
5.0,Age,36.0
0.0,Age,24.0
8.0,Age,29.0
10.0,Age,41.0
7.0,Age,36.0
8.0,Age,19.0
6.0,Age,26.0
7.0,Age,22.0
7.0,Age,16.0
4.0,Age,17.0
7.0,Age,19.0
9.0,Age,18.0
2.0,Age,18.0
10.0,Age,19.0
3.0,Age,19.0
7.0,Age,22.0
2.0,Age,16.0
5.0,Age,19.0
9.0,Age,37.0
2.0,Age,14.0
3.0,Age,26.0
2.0,Age,32.0
7.0,Age,30.0
5.0,Age,43.0
4.0,Age,24.0
6.0,Age,36.0
8.0,Age,19.0
9.0,Age,22.0
0.0,Age,20.0
8.0,Age,31.0
4.0,Age,19.0
8.0,Age,15.0
3.0,Age,18.0
1.0,Age,25.0
10.0,Age,17.0
6.0,Age,28.0
6.0,Age,20.0
